Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee ,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Tennis,"Tennis Courts, Reed park, Douglas, Marine, Memorial, Clover, Tennis Reservations, Court fees, Reservation fees, Instruction, instructors, lessons, Tournaments, Matches","Tennis Court Reservation Rate
 - Santa Monica Based Non-Profit Organizations",10,,"per hour, per court",,,,Santa Monica Based,"Fee is waived for youth organizations. 
Tennis Court Reservation Rate: City park and Santa Monica High School Courts when used by the City pursuant to agreements with the Santa Monica-Malibu Unified School District are reserved.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Middle School,"Rosies Girls, Middle School Girls, Building Leadership, Camps for Girls,
Girls, trades, non-traditional camp, empowering, team building, extended care, before camp, after camp
","CREST
 - Camp Program - Rosie's Girls
 - Extended Care",35,,Youth - per week,,,,,,"Additional information is available at: 
<a target=""_blank"">www.smgov.net/reserve</a>
<a target=""_blank"" href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32689"">http://www.smgov.net/Departments/CCS/content.aspx?id=32689</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"Gym Rental, Basketball, Volleyball, Half Court/Full Court, Gym Facility","Sports Facilities Rental - Memorial Park Gym - Full, Non-Resident, Youth Groups",115,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,City Planning/Development Review,Design Reviews,,"Board review of signs, sign programs and landscaping",Architectural Review Board- Sign Adjustment,1644,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"Gym Rental, Basketball, Volleyball, Half Court/Full Court, Gym Facility","Sports Facilities Rental - Memorial Park Gym - Full, Residents, Private Schools",80,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,"Modification to fence, wall, hedge height up to 4' above height limit","Fence, Wall, Hedge Height mod. (Administrative)",275.03,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Formal, Excessive","Mechanical Plan Review, Formal Plan Review: Excessive Plan Check- hourly charge after 3 reviews",222.93,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"pool rental, lane rental, swim team rental, rental, rent pool","Santa Monica Swim Center - Rental Charges, Non-Profit Adult Aquatics Program and Private Schools, Non SM Based / 2,000 hours annually, Long Course ",26,,per lane per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Court Rental, Basketball Courts,  Marine Park, Reed Park, court rental fees, basketball court rental fees,","Sports Facilities Rental - Outdoor Basketball Court, Non-Resident, Camps",67,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Non-Profit, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Filming","Facility Filming Rental - Motion, Ken Edwards, 100A & 100B",517,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Large Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Virginia Avenue Park, Large (90 - 130)",74,,,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, 1450 Ocean Avenue, Senior Recreation Center","Facility Filming Rental - Still, Senior Rec. Cntr, Addition",310,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Fees,,"Taxicab Company, Taxi Franchise , Vehicle, Permit, Transfer",Transfer vehicle permit fee,119.86,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Adult Skate Boarding, The Cove, Skate Board, BMX","Skate Park, One-Time Registration
 - Resident, Adult",15,,,,,,Residents - Adult,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee","Community Aquatics
 - Recreational and Fitness Swim
 - Daily Use
 - Non-Residents - Senior/Student ",3.5,,per day,,,,Non-Residents-Senior/Student,"Others: Seniors (60 years and over); Students (18 years or older attending high school, college or trade school full - time with I.D.)
  ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Record, Approved, Plans, Bonded, Permits",Record Fees: Approved Plans and Permits (Bonded Copies),,actual cost*,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rental, Baseball field, softball field, sports fields, field sports, Marine Park, Clover Park, Memorial Park, Airport Park, Santa Monica High School, Field rental fees","Sports Facilities Rental - Field Rental, Residents, Private Schools, Low Intensity (baseball, softball, kick-ball, frisbee)",13,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting room, Facility, Reservation, Swimming","Santa Monica Swim Center, Room Rental (2 hour minimum), Non-Santa Monica-based Non-Profit Groups & Community Groups, April - October",105,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Gymnasium, Basketball/Volleyball, Indoor Sports","Facility Filming Rental - Still, Memorial Park, Full Gymnasium",775,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,City Planning/Development Review,CEQA,,Required CEQA review for discretionary planning applications,Environmental - Initial Study,7934.13,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Geotechnical, Building/Shoring, Building, Shoring","Engineering Report Review: Geotechnical Reports, Building/Shoring Plan Review",1032.73,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Renewal, Renew, Expired, Plan Check, Formal, Other",Renewal Fees: Expired Plan Check - Formal - Any Others,1101.23,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Transportation Planning and Engineering,Permits,,"building permit, permit submittal, permit review, construction, plan review",Standard Plan Check - Parking and On-site Construction Design: Each additional 100 Parking Spaces,388.48,,,,,,,,,
Planning and Community Development,City Planning/Development Review,Business License,,Limited review of Business License application,Business License Planning Review - Limited Review,116.65,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Softball Leagues, Recreational Leagues, Softball, Coed Sports","Adult Sports League
 - Softball - Co-ed
 - Residents",400,,,,,,Residents - Coed,Resident Teams (Registration Priority 1)  At least 60% of players must live in Santa Monica.  A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Public Works,Resource Recovery & Recycling,Services,,"container, washing",Residential Clean-A-Can Program - Semi-Annual Service (2 times per year),32.85,,,,,,,,,
Community and Cultural Services,Community and Cultural Services,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Non-Profit, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 103, Room 104, Room 105, Senior Services","Ken Edwards Center Rental, Room 103 or 104 or 105 (18'X26'), 40 chairs, 24 chairs/4 tables or 30 chairs/5 tables",26,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/ken-edwards-center-fee-notes"">Ken Edwards Center fee notes</a>"
